FusionGene	Gene1	Gene1_Chromosome	Gene1_StartPosition	Gene1_EndPosition	Gene2	Gene2_Chromosome	Gene2_StartPosition	Gene2_EndPosition	Gene3	Gene3_Chromosome	Gene3_StartPosition	Gene3_EndPosition
ENSG00000149273.15-ENSG00000262898.5	ENSG00000149273.15	chr11	75400693	75405626	ENSG00000262898.5	chr17	83199653	83199999				
ENSG00000149599.16-ENSG00000131044.19	ENSG00000149599.16	chr20	31864954	31870649	ENSG00000131044.19	chr20	31871123	31942996				
ENSG00000149657.20-ENSG00000101182.15	ENSG00000149657.20	chr20	62122483	62130251	ENSG00000101182.15	chr20	62136734	62137381				
ENSG00000150753.12-ENSG00000264860.1	ENSG00000150753.12	chr5	10249930	10263209	ENSG00000264860.1	chr17	73187840	73196545				
ENSG00000151322.20-ENSG00000249858.2-ENSG00000164543.7	ENSG00000151322.20	chr14	32934397	33778497	ENSG00000249858.2	chr4	76344551	76344972	ENSG00000164543.7	chr7	43619598.0	43619684.0
ENSG00000151812.15-ENSG00000239650.4-ENSG00000100744.15	ENSG00000151812.15	chr14	57581215	57866023	ENSG00000239650.4	chr6	57919785	57929072	ENSG00000100744.15	chr14	96379689.0	96380016.0
ENSG00000151967.18-ENSG00000255248.11	ENSG00000151967.18	chr3	159839939	159866260	ENSG00000255248.11	chr11	122028390	122064487				
ENSG00000152223.16-ENSG00000152229.18	ENSG00000152223.16	chr18	45952401	45967224	ENSG00000152229.18	chr18	45983537	46072242				
ENSG00000153201.17-ENSG00000153201.17	ENSG00000153201.17	chr2	108733291	108734181	ENSG00000153201.17	chr2	108733291	108734181				
ENSG00000154856.13-ENSG00000154856.13	ENSG00000154856.13	chr18	10454983	10471677	ENSG00000154856.13	chr18	10454983	10471677				
ENSG00000156076.10-ENSG00000180879.14	ENSG00000156076.10	chr12	65055119	65066647	ENSG00000180879.14	chrX	153796435	153797497				
ENSG00000156113.25-ENSG00000156113.25	ENSG00000156113.25	chr10	76969975	77637604	ENSG00000156113.25	chr10	76969975	77637604				
ENSG00000157911.11-ENSG00000149527.18	ENSG00000157911.11	chr1	2409679	2409734	ENSG00000149527.18	chr1	2425981	2479738				
ENSG00000157916.20-ENSG00000205835.9	ENSG00000157916.20	chr1	2391891	2403748	ENSG00000205835.9	chr3	190852738	190860759				
ENSG00000159256.13-ENSG00000224924.9	ENSG00000159256.13	chr21	36361837	36364238	ENSG00000224924.9	chr21	20742500	20803186				
ENSG00000159593.15-ENSG00000258122.1	ENSG00000159593.15	chr16	66821447	66830887	ENSG00000258122.1	chr16	66841434	66841528				
ENSG00000159917.17-ENSG00000125730.18	ENSG00000159917.17	chr19	44303391	44304998	ENSG00000125730.18	chr19	6712281	6712406				
ENSG00000160058.19-ENSG00000160058.19	ENSG00000160058.19	chr1	32378216	32394429	ENSG00000160058.19	chr1	32378216	32394429				
ENSG00000160191.18-ENSG00000277243.1	ENSG00000160191.18	chr21	42653750	42699029	ENSG00000277243.1	chr15	21406386	21406393				
ENSG00000160633.13-ENSG00000199470.1	ENSG00000160633.13	chr19	5664727	5668342	ENSG00000199470.1	chr7	12700759	12700811				
ENSG00000160752.15-ENSG00000160752.15	ENSG00000160752.15	chr1	155318189	155318922	ENSG00000160752.15	chr1	155318189	155318922				
ENSG00000160781.17-ENSG00000160781.17	ENSG00000160781.17	chr1	156247958	156248078	ENSG00000160781.17	chr1	156247958	156248078				
ENSG00000161513.12-ENSG00000172782.13	ENSG00000161513.12	chr17	74866132	74872955	ENSG00000172782.13	chr17	74877303	74882641				
ENSG00000161996.19-ENSG00000161996.19	ENSG00000161996.19	chr16	656434	656832	ENSG00000161996.19	chr16	656434	656832				
ENSG00000162383.13-ENSG00000162383.13	ENSG00000162383.13	chr1	53087185	53089839	ENSG00000162383.13	chr1	53087185	53089839				
ENSG00000162643.13-ENSG00000266110.1	ENSG00000162643.13	chr1	85126554	85128799	ENSG00000266110.1	chr1	85133795	85133807				
ENSG00000162882.15-ENSG00000288886.2	ENSG00000162882.15	chr2	42767596	42792493	ENSG00000288886.2	chr2	42794350	42795015				
ENSG00000163357.11-ENSG00000241472.8-ENSG00000109182.12	ENSG00000163357.11	chr1	155033830	155033833	ENSG00000241472.8	chr3	62261007	62318871	ENSG00000109182.12	chr4	48994620.0	49061842.0
ENSG00000163568.16-ENSG00000233473.2	ENSG00000163568.16	chr1	159065911	159140475	ENSG00000233473.2	chr1	159081134	159081159				
ENSG00000163814.8-ENSG00000226877.9	ENSG00000163814.8	chr3	45146207	45146242	ENSG00000226877.9	chr9	83837053	83837511				
ENSG00000163913.14-ENSG00000274814.1	ENSG00000163913.14	chr3	129440135	129495589	ENSG00000274814.1	chr15	28494976	28495089				
ENSG00000163930.10-ENSG00000010318.22	ENSG00000163930.10	chr3	52407400	52408005	ENSG00000010318.22	chr3	52410661	52423518				
ENSG00000164091.12-ENSG00000199150.3	ENSG00000164091.12	chr3	52260386	52278255	ENSG00000199150.3	chr3	52268279	52268331				
ENSG00000164117.14-ENSG00000164118.13	ENSG00000164117.14	chr4	174283411	174283487	ENSG00000164118.13	chr4	174302040	174303792				
ENSG00000164733.22-ENSG00000164733.22	ENSG00000164733.22	chr8	11850867	11868037	ENSG00000164733.22	chr8	11850867	11868037				
ENSG00000164756.13-ENSG00000081985.14-ENSG00000184619.8	ENSG00000164756.13	chr8	117134809	117152951	ENSG00000081985.14	chr1	67367826	67395902	ENSG00000184619.8	chr17	8358823.0	8376539.0
ENSG00000164924.18-ENSG00000066557.6-ENSG00000228784.9	ENSG00000164924.18	chr8	100948664	100952592	ENSG00000066557.6	chr1	70144806	70155706	ENSG00000228784.9	chr2	19880488.0	19882242.0
ENSG00000164924.18-ENSG00000242315.3	ENSG00000164924.18	chr8	100920588	100951501	ENSG00000242315.3	chr8	100957884	100958087				
ENSG00000165046.13-ENSG00000272159.1	ENSG00000165046.13	chr8	38404414	38407430	ENSG00000272159.1	chr8	38408049	38408667				
ENSG00000165060.15-ENSG00000270236.1	ENSG00000165060.15	chr9	69036034	69072943	ENSG00000270236.1	chr9	69107927	69108022				
ENSG00000165304.8-ENSG00000289987.1	ENSG00000165304.8	chr9	36572898	36572941	ENSG00000289987.1	chr9	107488559	107489269				
ENSG00000165533.19-ENSG00000165533.19	ENSG00000165533.19	chr14	88824657	88872401	ENSG00000165533.19	chr14	88824657	88872401				
ENSG00000166348.20-ENSG00000165868.16	ENSG00000166348.20	chr10	73545539	73575544	ENSG00000165868.16	chr10	116700955	116705245				
ENSG00000166348.20-ENSG00000166348.20	ENSG00000166348.20	chr10	73504851	73505025	ENSG00000166348.20	chr10	73504851	73505025				
ENSG00000166770.12-ENSG00000279405.1	ENSG00000166770.12	chr19	56477875	56494342	ENSG00000279405.1	chr19	56480398	56480437				
ENSG00000166851.15-ENSG00000206560.12-ENSG00000091651.9	ENSG00000166851.15	chr16	23678972	23681054	ENSG00000206560.12	chr3	15676597	15677564	ENSG00000091651.9	chr16	46693094.0	46694054.0
ENSG00000166855.9-ENSG00000138698.15-ENSG00000198246.10	ENSG00000166855.9	chr15	65184367	65184406	ENSG00000138698.15	chr4	98421256	98442048	ENSG00000198246.10	chr10	71361955.0	71362067.0
ENSG00000167257.11-ENSG00000081692.13	ENSG00000167257.11	chr11	117232626	117238687	ENSG00000081692.13	chr1	227731192	227732964				
ENSG00000167291.16-ENSG00000275516.1	ENSG00000167291.16	chr17	79942061	80035824	ENSG00000275516.1	chr17	79952664	79952983				
ENSG00000167393.18_PAR_Y-ENSG00000237040.6_PAR_Y	ENSG00000167393.18_PAR_Y	chrY	373533	373660	ENSG00000237040.6_PAR_Y	chrY	57062157	57062360				
ENSG00000167419.11-ENSG00000005381.9	ENSG00000167419.11	chr17	58252183	58252359	ENSG00000005381.9	chr17	58269856	58279846				
ENSG00000167588.13-ENSG00000110887.8	ENSG00000167588.13	chr12	50104009	50108031	ENSG00000110887.8	chr12	108890209	108900418				
ENSG00000167670.16-ENSG00000167670.16	ENSG00000167670.16	chr19	4402703	4408886	ENSG00000167670.16	chr19	4402703	4408886				
ENSG00000167900.12-ENSG00000232411.1-ENSG00000165644.11	ENSG00000167900.12	chr17	78174092	78186947	ENSG00000232411.1	chr2	165833049	165837030	ENSG00000165644.11	chr10	75233985.0	75234087.0
ENSG00000168214.22-ENSG00000038219.13	ENSG00000168214.22	chr4	26321229	26386355	ENSG00000038219.13	chr4	13568739	13620034				
ENSG00000168310.12-ENSG00000168310.12	ENSG00000168310.12	chr4	184428979	184448502	ENSG00000168310.12	chr4	184428979	184448502				
ENSG00000168556.7-ENSG00000063978.17	ENSG00000168556.7	chr4	183506083	183510502	ENSG00000063978.17	chr4	2490338	2500673				
ENSG00000168619.16-ENSG00000101003.12-ENSG00000088035.18	ENSG00000168619.16	chr8	39584624	39584662	ENSG00000101003.12	chr20	25391009	25446845	ENSG00000088035.18	chr1	63428454.0	63436980.0
ENSG00000168675.19-ENSG00000102898.13-ENSG00000163209.15	ENSG00000168675.19	chr18	13611765	13645471	ENSG00000102898.13	chr16	67865103	67870822	ENSG00000163209.15	chr1	153001947.0	153002076.0
ENSG00000168676.11-ENSG00000198677.13-ENSG00000140853.17	ENSG00000168676.11	chr16	67299364	67326720	ENSG00000198677.13	chr5	95462725	95498420	ENSG00000140853.17	chr16	57046553.0	57082576.0
ENSG00000169499.15-ENSG00000253645.1	ENSG00000169499.15	chr8	38950554	38952268	ENSG00000253645.1	chr8	38970361	38970422				
ENSG00000169862.21-ENSG00000169862.21	ENSG00000169862.21	chr5	11411537	11903178	ENSG00000169862.21	chr5	11411537	11903178				
ENSG00000169903.7-ENSG00000169903.7	ENSG00000169903.7	chr3	149474698	149474991	ENSG00000169903.7	chr3	149474698	149474991				
ENSG00000170231.16-ENSG00000231530.1-ENSG00000088298.13	ENSG00000170231.16	chr5	160229507	160229624	ENSG00000231530.1	chr13	42043728	42044154	ENSG00000088298.13	chr20	35115365.0	35142409.0
ENSG00000170448.12-ENSG00000003393.16-ENSG00000145916.19	ENSG00000170448.12	chr4	47885499	47914577	ENSG00000003393.16	chr2	201700568	201709978	ENSG00000145916.19	chr5	178142584.0	178149935.0
ENSG00000170873.19-ENSG00000109339.24	ENSG00000170873.19	chr8	124567072	124568463	ENSG00000109339.24	chr4	86016534	86354545				
ENSG00000170954.12-ENSG00000183137.15	ENSG00000170954.12	chr19	53115211	53132877	ENSG00000183137.15	chr6	109155792	109155908				
ENSG00000171109.19-ENSG00000174306.22-ENSG00000155307.19	ENSG00000171109.19	chr3	179362359	179365210	ENSG00000174306.22	chr20	41204629	41269029	ENSG00000155307.19	chr21	14485229.0	14521218.0
ENSG00000171766.17-ENSG00000166145.15	ENSG00000171766.17	chr15	45376602	45378066	ENSG00000166145.15	chr15	40855802	40856881				
ENSG00000172179.13-ENSG00000271913.9	ENSG00000172179.13	chr6	22302761	22302793	ENSG00000271913.9	chr6	159027145	159042359				
ENSG00000172339.10-ENSG00000071894.17-ENSG00000088280.20	ENSG00000172339.10	chr1	95064867	95072796	ENSG00000071894.17	chr8	144393230	144394294	ENSG00000088280.20	chr1	23451480.0	23451483.0
ENSG00000172404.5-ENSG00000226024.1	ENSG00000172404.5	chr22	40859550	40861405	ENSG00000226024.1	chr22	39120294	39120479				
ENSG00000172965.17-ENSG00000242736.1-ENSG00000157426.14	ENSG00000172965.17	chr2	111346671	111346738	ENSG00000242736.1	chr7	142299178	142299424	ENSG00000157426.14	chr4	56355301.0	56378278.0
ENSG00000173166.18-ENSG00000137807.16	ENSG00000173166.18	chr2	203454431	203535137	ENSG00000137807.16	chr15	69422327	69447803				
ENSG00000173285.5-ENSG00000198965.5	ENSG00000173285.5	chr1	158461835	158466531	ENSG00000198965.5	chr1	158479939	158480123				
ENSG00000173638.19-ENSG00000109339.24-ENSG00000199977.1	ENSG00000173638.19	chr21	45512363	45515091	ENSG00000109339.24	chr4	86016492	86016754	ENSG00000199977.1	chr18	21817625.0	21817627.0
ENSG00000175334.8-ENSG00000066322.15-ENSG00000189326.5	ENSG00000175334.8	chr11	66002783	66003361	ENSG00000066322.15	chr1	43364577	43365611	ENSG00000189326.5	chrX	143034026.0	143034143.0
ENSG00000175426.11-ENSG00000137497.19	ENSG00000175426.11	chr5	96432084	96432112	ENSG00000137497.19	chr11	72019602	72019608				
ENSG00000175984.15-ENSG00000259555.1	ENSG00000175984.15	chr1	114587388	114670033	ENSG00000259555.1	chr15	78627886	78627905				
ENSG00000176261.16-ENSG00000200591.1	ENSG00000176261.16	chr1	32650434	32650472	ENSG00000200591.1	chr1	32639952	32639956				
ENSG00000176623.12-ENSG00000176623.12	ENSG00000176623.12	chr8	86474821	86508494	ENSG00000176623.12	chr8	86474821	86508494				
ENSG00000176915.15-ENSG00000176915.15	ENSG00000176915.15	chr12	132728033	132730428	ENSG00000176915.15	chr12	132728033	132730428				
ENSG00000177192.14-ENSG00000177192.14	ENSG00000177192.14	chr12	131929243	131939257	ENSG00000177192.14	chr12	131929243	131939257				
ENSG00000177731.16-ENSG00000256422.8-ENSG00000084623.12	ENSG00000177731.16	chr17	18245239	18245946	ENSG00000256422.8	chr11	104538673	104544783	ENSG00000084623.12	chr1	32230928.0	32231559.0
ENSG00000178028.14-ENSG00000178028.14	ENSG00000178028.14	chr1	44213484	44214736	ENSG00000178028.14	chr1	44213484	44214736				
ENSG00000178997.12-ENSG00000289083.1	ENSG00000178997.12	chr15	41217124	41230743	ENSG00000289083.1	chr15	30427081	30427679				
ENSG00000179523.7-ENSG00000235519.3-ENSG00000179046.9	ENSG00000179523.7	chr15	44534508	44536321	ENSG00000235519.3	chr2	81461363	81462640	ENSG00000179046.9	chr4	188105414.0	188105488.0
ENSG00000179818.17-ENSG00000179818.17	ENSG00000179818.17	chr2	70018016	70086993	ENSG00000179818.17	chr2	70018016	70086993				
ENSG00000179912.21-ENSG00000199251.1-ENSG00000241369.6	ENSG00000179912.21	chr12	57280462	57295444	ENSG00000199251.1	chr2	207680534	207680606	ENSG00000241369.6	chr3	163177251.0	163177618.0
ENSG00000180304.14-ENSG00000105856.14	ENSG00000180304.14	chr15	64690375	64703052	ENSG00000105856.14	chr7	107182374	107201601				
ENSG00000181192.12-ENSG00000187720.15-ENSG00000003393.16	ENSG00000181192.12	chr10	12118780	12118864	ENSG00000187720.15	chr15	71215036	71215223	ENSG00000003393.16	chr2	201700567.0	201744351.0
ENSG00000181523.13-ENSG00000197566.10	ENSG00000181523.13	chr17	80215034	80220255	ENSG00000197566.10	chr17	16620735	16647364				
ENSG00000182621.18-ENSG00000124155.19	ENSG00000182621.18	chr20	8114454	8646142	ENSG00000124155.19	chr20	45420602	45421575				
ENSG00000182752.10-ENSG00000228486.11-ENSG00000141456.16	ENSG00000182752.10	chr9	116332433	116332447	ENSG00000228486.11	chr2	97670591	97671482	ENSG00000141456.16	chr17	4683035.0	4690924.0
ENSG00000182796.16-ENSG00000243667.7-ENSG00000231851.6	ENSG00000182796.16	chr12	55830829	55831274	ENSG00000243667.7	chr2	68147468	68147480	ENSG00000231851.6	chr2	105097061.0	105097221.0
ENSG00000183696.14-ENSG00000244485.1-ENSG00000173113.7	ENSG00000183696.14	chr7	48089377	48094791	ENSG00000244485.1	chr16	76235056	76235188	ENSG00000173113.7	chr11	64316695.0	64317242.0
ENSG00000184363.10-ENSG00000185187.13	ENSG00000184363.10	chr11	394244	394512	ENSG00000185187.13	chr11	405717	406490				
ENSG00000184599.14-ENSG00000184599.14	ENSG00000184599.14	chr1	112718906	112726863	ENSG00000184599.14	chr1	112718906	112726863				
ENSG00000184708.18-ENSG00000221963.6	ENSG00000184708.18	chr22	31444439	31449358	ENSG00000221963.6	chr22	35656380	35661441				
ENSG00000185000.12-ENSG00000254755.1	ENSG00000185000.12	chr8	144317785	144318718	ENSG00000254755.1	chr11	76591024	76591040				
ENSG00000185442.13-ENSG00000128510.12-ENSG00000163930.10	ENSG00000185442.13	chr15	92617449	92655637	ENSG00000128510.12	chr7	130300817	130305865	ENSG00000163930.10	chr3	52405812.0	52407415.0
ENSG00000185664.15-ENSG00000251584.2	ENSG00000185664.15	chr12	55961318	55966004	ENSG00000251584.2	chr4	174522618	174540720				
ENSG00000186153.18-ENSG00000186153.18	ENSG00000186153.18	chr16	78099680	78278630	ENSG00000186153.18	chr16	78099680	78278630				
ENSG00000186153.18-ENSG00000276007.1	ENSG00000186153.18	chr16	78099627	78164232	ENSG00000276007.1	chr16	78123244	78123711				
ENSG00000186487.21-ENSG00000138380.18	ENSG00000186487.21	chr2	1887489	2331254	ENSG00000138380.18	chr2	202961238	202974348				
ENSG00000186510.12-ENSG00000186510.12	ENSG00000186510.12	chr1	16021031	16021492	ENSG00000186510.12	chr1	16021031	16021492				
ENSG00000186566.13-ENSG00000161920.11	ENSG00000186566.13	chr17	44474830	44503367	ENSG00000161920.11	chr17	4731429	4733524				
ENSG00000186704.9-ENSG00000265479.7	ENSG00000186704.9	chr7	76978618	77004236	ENSG00000265479.7	chr7	77015673	77023728				
ENSG00000187037.9-ENSG00000196335.13	ENSG00000187037.9	chr7	37683873	37741008	ENSG00000196335.13	chr7	23754316	23754324				
ENSG00000187498.16-ENSG00000154240.18-ENSG00000039560.14	ENSG00000187498.16	chr13	110195024	110307061	ENSG00000154240.18	chr17	65715035	65903182	ENSG00000039560.14	chr5	34803713.0	34807808.0
ENSG00000187630.18-ENSG00000187630.18	ENSG00000187630.18	chr14	23988930	24005956	ENSG00000187630.18	chr14	23988930	24005956				
ENSG00000188186.11-ENSG00000284776.1	ENSG00000188186.11	chr7	100149360	100149480	ENSG00000284776.1	chr20	18593732	18744171				
ENSG00000188321.14-ENSG00000276043.5	ENSG00000188321.14	chr19	9324232	9338519	ENSG00000276043.5	chr19	4910877	4960939				
ENSG00000196433.13-ENSG00000086758.17	ENSG00000196433.13	chrX	1615176	1642826	ENSG00000086758.17	chrX	53647442	53648304				
ENSG00000196510.14-ENSG00000184716.14	ENSG00000196510.14	chr12	110381753	110381789	ENSG00000184716.14	chr15	43796731	43799074				
ENSG00000196549.13-ENSG00000162302.13-ENSG00000137707.14	ENSG00000196549.13	chr3	155083945	155172546	ENSG00000162302.13	chr11	64368705	64371519	ENSG00000137707.14	chr11	111494816.0	111512314.0
ENSG00000196839.14-ENSG00000143198.13-ENSG00000167881.15	ENSG00000196839.14	chr20	44629048	44651172	ENSG00000143198.13	chr1	165653834	165655584	ENSG00000167881.15	chr17	76039105.0	76039846.0
ENSG00000196935.10-ENSG00000283625.1	ENSG00000196935.10	chr12	63982526	64142757	ENSG00000283625.1	chr3	184499485	184500238				
ENSG00000197085.11-ENSG00000187258.14	ENSG00000197085.11	chr7	34568253	34758167	ENSG00000187258.14	chr7	34834385	34849867				
ENSG00000197122.13-ENSG00000197122.13	ENSG00000197122.13	chr20	37402314	37402785	ENSG00000197122.13	chr20	37402314	37402785				
ENSG00000197134.13-ENSG00000197134.13	ENSG00000197134.13	chr19	22052510	22073528	ENSG00000197134.13	chr19	22052510	22073528				
ENSG00000197323.12-ENSG00000226984.1	ENSG00000197323.12	chr1	114406942	114406955	ENSG00000226984.1	chr1	114459935	114459994				
ENSG00000197872.11-ENSG00000150722.11	ENSG00000197872.11	chr2	16588051	16665828	ENSG00000150722.11	chr2	182063732	182117351				
ENSG00000197976.12_PAR_Y-ENSG00000214717.12_PAR_Y	ENSG00000197976.12_PAR_Y	chrY	1591605	1595526	ENSG00000214717.12_PAR_Y	chrY	2489906	2490208				
ENSG00000198221.12-ENSG00000198221.12	ENSG00000198221.12	chr6	167824111	167826821	ENSG00000198221.12	chr6	167824111	167826821				
ENSG00000198431.18-ENSG00000270190.1-ENSG00000185186.10	ENSG00000198431.18	chr12	104286996	104313317	ENSG00000270190.1	chr2	111266869	111266918	ENSG00000185186.10	chr21	43475926.0	43476634.0
ENSG00000198626.18-ENSG00000177058.12-ENSG00000118412.13	ENSG00000198626.18	chr1	237800030	237800042	ENSG00000177058.12	chr5	55704276	55711478	ENSG00000118412.13	chr6	89871290.0	89873914.0
ENSG00000198838.14-ENSG00000276702.1	ENSG00000198838.14	chr15	33838350	33840856	ENSG00000276702.1	chr15	33850539	33851028				
ENSG00000198947.18-ENSG00000252903.2	ENSG00000198947.18	chrX	31261109	31261541	ENSG00000252903.2	chrX	31348193	31348251				
ENSG00000201151.1-ENSG00000276316.1	ENSG00000201151.1	chr20	35117137	35117189	ENSG00000276316.1	chr11	124238421	124239222				
ENSG00000203999.10-ENSG00000101346.15	ENSG00000203999.10	chr20	50308870	50308933	ENSG00000101346.15	chr20	32228264	32236035				
ENSG00000204256.14-ENSG00000184634.17	ENSG00000204256.14	chr6	32968595	32975428	ENSG00000184634.17	chrX	71128793	71130044				
ENSG00000204290.11-ENSG00000204290.11	ENSG00000204290.11	chr6	32394737	32407094	ENSG00000204290.11	chr6	32394737	32407094				
ENSG00000205084.12-ENSG00000259992.1	ENSG00000205084.12	chr16	75538341	75556229	ENSG00000259992.1	chr16	75541400	75545930				
ENSG00000205628.5-ENSG00000205628.5	ENSG00000205628.5	chr7	53811661	53811814	ENSG00000205628.5	chr7	53811661	53811814				
ENSG00000206384.11-ENSG00000196455.8	ENSG00000206384.11	chr3	130581742	130592606	ENSG00000196455.8	chr3	130678935	130707060				
ENSG00000212413.1-ENSG00000245694.12	ENSG00000212413.1	chr10	103312437	103312460	ENSG00000245694.12	chr16	54918871	54920610				
ENSG00000212498.1-ENSG00000253704.4	ENSG00000212498.1	chr20	2656098	2656122	ENSG00000253704.4	chr8	94553669	94568621				
ENSG00000212556.1-ENSG00000197102.14	ENSG00000212556.1	chr3	127202373	127202440	ENSG00000197102.14	chr14	102001536	102042121				
ENSG00000212719.15-ENSG00000212719.15	ENSG00000212719.15	chr17	21512190	21551372	ENSG00000212719.15	chr17	21512190	21551372				
ENSG00000213318.4-ENSG00000269609.6	ENSG00000213318.4	chr16	75192466	75193187	ENSG00000269609.6	chr10	102451400	102451426				
ENSG00000213983.12-ENSG00000126777.18	ENSG00000213983.12	chr14	23566563	23567773	ENSG00000126777.18	chr14	55675836	55684103				
ENSG00000214338.11-ENSG00000184530.9	ENSG00000214338.11	chr6	127482914	127518651	ENSG00000184530.9	chr6	127519456	127578695				
ENSG00000215124.2-ENSG00000225102.2	ENSG00000215124.2	chr6	11861627	11862778	ENSG00000225102.2	chr6	11990339	12001196				
ENSG00000215277.9-ENSG00000215277.9	ENSG00000215277.9	chr14	23258550	23258649	ENSG00000215277.9	chr14	23258550	23258649				
ENSG00000215796.3-ENSG00000138759.20-ENSG00000104490.18	ENSG00000215796.3	chr1	247042792	247043505	ENSG00000138759.20	chr4	78469979	78511520	ENSG00000104490.18	chr8	101686544.0	101915831.0
ENSG00000218476.2-ENSG00000207394.1	ENSG00000218476.2	chr6	23102681	23103225	ENSG00000207394.1	chr6	23124982	23125051				
ENSG00000220848.5-ENSG00000202343.1	ENSG00000220848.5	chr6	149592688	149594482	ENSG00000202343.1	chr6	149594626	149594672				
ENSG00000221300.1-ENSG00000089091.17	ENSG00000221300.1	chr2	42440378	42440436	ENSG00000089091.17	chr20	18383372	18452661				
ENSG00000221886.4-ENSG00000174695.10	ENSG00000221886.4	chr5	160393529	160399835	ENSG00000174695.10	chr5	83056728	83077438				
ENSG00000221947.8-ENSG00000120896.14	ENSG00000221947.8	chr8	70670574	70680821	ENSG00000120896.14	chr8	22567039	22571788				
ENSG00000222429.1-ENSG00000161905.13	ENSG00000222429.1	chr17	4619750	4619825	ENSG00000161905.13	chr17	4630920	4632910				
ENSG00000223482.10-ENSG00000224914.4	ENSG00000223482.10	chr10	87336787	87342284	ENSG00000224914.4	chr10	87341686	87357034				
ENSG00000223631.2-ENSG00000284659.1	ENSG00000223631.2	chr2	131402873	131407472	ENSG00000284659.1	chr2	131419666	131419772				
ENSG00000223634.1-ENSG00000235497.5	ENSG00000223634.1	chr2	23357517	23360364	ENSG00000235497.5	chr2	23375230	23376848				
ENSG00000223779.6-ENSG00000223779.6	ENSG00000223779.6	chr1	143745250	143756467	ENSG00000223779.6	chr1	143745250	143756467				
ENSG00000223782.1-ENSG00000154040.21-ENSG00000262686.1	ENSG00000223782.1	chr13	26977544	26977741	ENSG00000154040.21	chr18	24143092	24161519	ENSG00000262686.1	chr16	4324668.0	4326440.0
ENSG00000224209.8-ENSG00000252259.1	ENSG00000224209.8	chr1	63317059	63317140	ENSG00000252259.1	chr1	63186337	63186402				
ENSG00000224857.1-ENSG00000224857.1	ENSG00000224857.1	chr1	121580433	121580482	ENSG00000224857.1	chr1	121580433	121580482				
ENSG00000225510.2-ENSG00000102471.16	ENSG00000225510.2	chr13	53201508	53201924	ENSG00000102471.16	chr13	79533324	79555787				
ENSG00000225676.2-ENSG00000136861.19	ENSG00000225676.2	chr22	30182819	30207189	ENSG00000136861.19	chr9	120388891	120419801				
ENSG00000225746.13-ENSG00000258867.8	ENSG00000225746.13	chr14	100954609	100955937	ENSG00000258867.8	chr14	88044498	88087248				
ENSG00000226055.2-ENSG00000168591.16-ENSG00000114923.17	ENSG00000226055.2	chr9	37878117	37879439	ENSG00000168591.16	chr17	44186987	44191433	ENSG00000114923.17	chr2	219640431.0	219641653.0
ENSG00000226138.4-ENSG00000167110.19	ENSG00000226138.4	chr12	48085063	48085367	ENSG00000167110.19	chr9	128267195	128275917				
ENSG00000226312.7-ENSG00000226312.7	ENSG00000226312.7	chr2	201149332	201151151	ENSG00000226312.7	chr2	201149332	201151151				
ENSG00000226519.4-ENSG00000229672.3	ENSG00000226519.4	chr13	44119652	44147713	ENSG00000229672.3	chr10	3760337	3760379				
ENSG00000226961.3-ENSG00000264757.1-ENSG00000176124.15	ENSG00000226961.3	chr2	11351628	11352109	ENSG00000264757.1	chr22	17764181	17764196	ENSG00000176124.15	chr13	50401227.0	50401342.0
ENSG00000227083.1-ENSG00000235262.1	ENSG00000227083.1	chrX	147901049	147901237	ENSG00000235262.1	chrX	53212409	53212682				
ENSG00000227195.11-ENSG00000238129.5	ENSG00000227195.11	chr20	26199450	26209210	ENSG00000238129.5	chr20	26188409	26196891				
ENSG00000227775.3-ENSG00000183921.8	ENSG00000227775.3	chr1	1724616	1724631	ENSG00000183921.8	chr16	22191866	22191950				
ENSG00000227837.1-ENSG00000291031.1	ENSG00000227837.1	chrY	24691792	24691898	ENSG00000291031.1	chrY	19555391	19557280				
ENSG00000228141.7-ENSG00000172575.14	ENSG00000228141.7	chr15	82711562	82713849	ENSG00000172575.14	chr15	38490555	38518399				
ENSG00000228208.7-ENSG00000228208.7	ENSG00000228208.7	chr1	218459266	218525567	ENSG00000228208.7	chr1	218459266	218525567				
ENSG00000228373.2-ENSG00000164733.22	ENSG00000228373.2	chr9	87423635	87423872	ENSG00000164733.22	chr8	11842525	11852614				
ENSG00000228437.5-ENSG00000228437.5	ENSG00000228437.5	chr1	221966411	221983047	ENSG00000228437.5	chr1	221966411	221983047				
ENSG00000228570.8-ENSG00000167258.15	ENSG00000228570.8	chr10	79841359	79844320	ENSG00000167258.15	chr17	39492752	39494614				
ENSG00000228600.1-ENSG00000160199.15	ENSG00000228600.1	chr21	14757589	14757620	ENSG00000160199.15	chr21	43007492	43007512				
ENSG00000229543.1-ENSG00000253329.1-ENSG00000127481.15	ENSG00000229543.1	chr10	78293843	78293884	ENSG00000253329.1	chr22	22618907	22619022	ENSG00000127481.15	chr1	19106567.0	19106918.0
ENSG00000229606.2-ENSG00000289577.2	ENSG00000229606.2	chr20	61079141	61080146	ENSG00000289577.2	chr20	61159813	61162690				
ENSG00000230768.9-ENSG00000232884.11-ENSG00000290655.1	ENSG00000230768.9	chr1	105604164	105605974	ENSG00000232884.11	chr21	14676690	14676732	ENSG00000290655.1	chr17	18424322.0	18425055.0
