simulation,gene_info,depth,Sequence_Identity,Spiked_ReadSupp
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000680282.1-ENST00000334205.9-ENST00000692032.1,100GB,85%,126
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000682737.1-ENST00000682737.1,100GB,85%,80
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000684176.1-ENST00000522264.1,100GB,85%,70
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000685306.1-ENST00000624022.1,100GB,85%,51
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000685499.2-ENST00000480238.5,100GB,85%,40
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000685535.1-ENST00000494744.1-ENST00000686298.2,100GB,85%,76
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000685569.2-ENST00000527711.5,100GB,85%,75
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000686495.1-ENST00000463804.6,100GB,85%,93
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000686616.2-ENST00000484564.1-ENST00000535963.1,100GB,85%,33
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000686698.2-ENST00000686698.2,100GB,85%,43
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000686832.1-ENST00000452214.5,100GB,85%,38
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000687920.2-ENST00000687920.2,100GB,85%,66
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000688044.1-ENST00000528888.5,100GB,85%,86
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000688625.1-ENST00000702772.1,100GB,85%,127
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000689040.1-ENST00000564489.1,100GB,85%,112
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000689332.1-ENST00000611461.1,100GB,85%,77
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000689811.2-ENST00000682494.1-ENST00000324436.5,100GB,85%,83
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000689959.1-ENST00000689959.1,100GB,85%,55
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000690311.1-ENST00000563203.1,100GB,85%,85
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000691160.2-ENST00000687794.1,100GB,85%,56
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000691165.1-ENST00000663583.1-ENST00000613461.3,100GB,85%,108
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000691515.1-ENST00000401867.5,100GB,85%,110
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000691599.1-ENST00000490511.1,100GB,85%,58
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000691634.1-ENST00000604616.1,100GB,85%,62
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000691690.1-ENST00000573187.3,100GB,85%,42
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000691707.1-ENST00000691707.1,100GB,85%,53
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000692062.1-ENST00000692062.1,100GB,85%,47
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000692675.1-ENST00000258733.9,100GB,85%,52
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000694978.1-ENST00000544670.5,100GB,85%,134
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000695731.1-ENST00000417593.1-ENST00000504207.1,100GB,85%,61
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000696082.1-ENST00000494074.1-ENST00000588643.1,100GB,85%,71
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000696482.1-ENST00000409746.5,100GB,85%,133
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000696704.1-ENST00000696704.1,100GB,85%,61
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000696848.1-ENST00000696848.1,100GB,85%,95
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000697249.1-ENST00000384076.1,100GB,85%,41
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000697424.1-ENST00000516113.1,100GB,85%,60
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000697741.1-ENST00000697741.1,100GB,85%,55
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000698021.1-ENST00000463377.6,100GB,85%,52
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000698683.1-ENST00000698683.1,100GB,85%,71
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000698977.1-ENST00000612910.1,100GB,85%,74
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000699412.1-ENST00000699412.1,100GB,85%,111
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000699746.1-ENST00000372503.2,100GB,85%,64
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000700851.1-ENST00000622505.1,100GB,85%,45
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000700912.1-ENST00000354695.5,100GB,85%,59
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000700965.1-ENST00000700965.1,100GB,85%,41
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000701726.1-ENST00000701726.1,100GB,85%,43
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000701841.1-ENST00000660350.1,100GB,85%,71
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000702013.1-ENST00000267377.3,100GB,85%,47
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000702269.1-ENST00000477677.5,100GB,85%,63
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000702400.1-ENST00000446580.3-ENST00000394461.2,100GB,85%,82
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000702991.1-ENST00000391366.3,100GB,85%,57
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000706066.1-ENST00000661111.1,100GB,85%,63
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000210313.8-ENST00000656197.1,100GB,90%,64
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000215882.10-ENST00000407142.5,100GB,90%,161
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000254090.9-ENST00000689593.1,100GB,90%,47
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000256722.10-ENST00000497833.1-ENST00000551155.1,100GB,90%,74
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000263382.8-ENST00000598059.5,100GB,90%,38
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000265563.13-ENST00000338981.7,100GB,90%,270
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000276410.7-ENST00000682700.1,100GB,90%,73
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000276573.11-ENST00000675221.1-ENST00000495970.1,100GB,90%,88
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000278979.7-ENST00000535842.6,100GB,90%,53
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000293195.10-ENST00000612771.5,100GB,90%,80
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000294973.11-ENST00000687045.1,100GB,90%,65
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000298428.14-ENST00000298428.14,100GB,90%,64
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000299540.6-ENST00000456036.2,100GB,90%,60
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000301149.8-ENST00000547122.5,100GB,90%,61
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000301634.12-ENST00000457108.1-ENST00000469299.1,100GB,90%,68
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000305354.5-ENST00000305354.5,100GB,90%,56
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000307221.5-ENST00000414780.1,100GB,90%,67
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000308724.9-ENST00000413890.6,100GB,90%,54
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000310924.7-ENST00000617619.1,100GB,90%,76
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000311027.9-ENST00000543925.5,100GB,90%,54
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000313871.9_PAR_Y-ENST00000461691.6_PAR_Y,100GB,90%,56
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000322060.9-ENST00000322060.9,100GB,90%,38
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000327355.6-ENST00000470542.5-ENST00000471532.5,100GB,90%,112
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000335125.11-ENST00000335125.11,100GB,90%,52
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000338625.9-ENST00000384919.1,100GB,90%,90
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000341885.6-ENST00000363721.1,100GB,90%,40
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000344201.7-ENST00000344201.7,100GB,90%,39
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000346169.7-ENST00000621669.1-ENST00000514119.6,100GB,90%,77
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000346301.8-ENST00000346301.8,100GB,90%,97
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000355773.6-ENST00000497417.1,100GB,90%,64
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000355860.7-ENST00000355860.7,100GB,90%,57
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000358582.9-ENST00000650640.1,100GB,90%,134
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000358772.8-ENST00000360581.6,100GB,90%,58
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000359452.9-ENST00000553625.5,100GB,90%,69
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000361352.9-ENST00000450451.1,100GB,90%,103
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000361665.7-ENST00000513880.2-ENST00000626336.2,100GB,90%,93
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000361886.4-ENST00000361886.4,100GB,90%,62
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000364281.1-ENST00000616658.1,100GB,90%,55
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000366965.6-ENST00000366965.6,100GB,90%,71
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000368129.3-ENST00000446414.2,100GB,90%,52
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000370869.7-ENST00000593903.1-ENST00000481627.2,100GB,90%,76
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000372220.5-ENST00000649972.1-ENST00000433160.1,100GB,90%,197
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000373698.7-ENST00000439471.2,100GB,90%,47
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000373943.9-ENST00000527662.5,100GB,90%,110
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000374255.6-ENST00000454799.6,100GB,90%,89
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000374825.9-ENST00000688622.1,100GB,90%,81
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000377270.8-ENST00000605734.1,100GB,90%,61
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000377724.8-ENST00000452964.2,100GB,90%,59
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000378512.5-ENST00000442080.6,100GB,90%,163
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000379727.8-ENST00000379727.8,100GB,90%,80
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000381233.8-ENST00000446750.1,100GB,90%,61
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000381625.9_PAR_Y-ENST00000422618.6_PAR_Y,100GB,90%,44
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000381843.6-ENST00000697470.1,100GB,90%,61
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000381941.8-ENST00000665561.1,100GB,90%,46
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000388955.8-ENST00000457352.4,100GB,90%,47
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000389576.4-ENST00000225275.4,100GB,90%,93
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000391111.1-ENST00000560029.5,100GB,90%,47
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000391196.1-ENST00000658286.1,100GB,90%,45
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000391254.1-ENST00000679629.1,100GB,90%,240
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000393276.7-ENST00000559120.1,100GB,90%,78
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000393674.7-ENST00000505124.5,100GB,90%,57
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000395680.6-ENST00000432239.1,100GB,90%,43
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000395953.6-ENST00000476271.3,100GB,90%,66
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000395979.1-ENST00000515221.2,100GB,90%,54
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000397030.5-ENST00000397030.5,100GB,90%,139
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000397072.7-ENST00000523026.1,100GB,90%,39
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000400318.6-ENST00000370873.9,100GB,90%,57
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000402432.4-ENST00000413246.1-ENST00000374491.3,100GB,90%,71
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000404015.2-ENST00000384664.1,100GB,90%,58
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000406434.5-ENST00000465612.5,100GB,90%,47
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000406452.8-ENST00000406452.8,100GB,90%,96
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000407724.7-ENST00000264156.3,100GB,90%,85
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000408047.5-ENST00000702978.1-ENST00000679964.1,100GB,90%,39
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000408373.1-ENST00000358866.10,100GB,90%,101
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000410497.1-ENST00000293761.8,100GB,90%,57
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000411940.1-ENST00000706511.1-ENST00000610854.2,100GB,90%,152
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000412117.1-ENST00000513578.5,100GB,90%,44
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000412778.4-ENST00000412778.4,100GB,90%,65
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000413365.1-ENST00000486759.6-ENST00000576080.1,100GB,90%,63
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000417099.1-ENST00000684942.1,100GB,90%,45
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000417464.6-ENST00000478088.1-ENST00000537918.1,100GB,90%,46
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000418314.1-ENST00000418314.1,100GB,90%,36
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000418638.1-ENST00000675799.1,100GB,90%,42
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000418733.1-ENST00000494540.5,100GB,90%,49
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000419121.6-ENST00000419121.6,100GB,90%,53
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000419658.1-ENST00000419658.1,100GB,90%,34
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000419977.4-ENST00000575188.5-ENST00000539881.5,100GB,90%,100
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000420185.1-ENST00000440074.1,100GB,90%,67
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000420539.1-ENST00000420539.1,100GB,90%,44
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000422221.1-ENST00000696757.1,100GB,90%,63
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000422805.2-ENST00000422805.2,100GB,90%,60
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000423025.6-ENST00000652936.1-ENST00000513409.1,100GB,90%,129
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000423325.6-ENST00000423325.6,100GB,90%,53
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000425013.6-ENST00000374160.8-ENST00000500148.6,100GB,90%,109
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000425231.2-ENST00000412069.1,100GB,90%,47
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000425324.2-ENST00000357984.7-ENST00000273063.10,100GB,90%,104
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000425797.2-ENST00000584900.5,100GB,90%,67
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000426527.1-ENST00000421563.5,100GB,90%,59
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000427561.5-ENST00000456273.1,100GB,90%,54
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000429769.5-ENST00000429769.5,100GB,90%,46
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000429883.1-ENST00000693243.2,100GB,90%,58
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000430540.1-ENST00000430540.1,100GB,90%,35
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000431868.1-ENST00000513652.1,100GB,90%,54
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000432360.2-ENST00000693714.1,100GB,90%,270
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000433548.1-ENST00000583102.1-ENST00000483444.5,100GB,90%,42
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000434440.1-ENST00000524362.1-ENST00000494503.1,100GB,90%,48
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000434934.1-ENST00000493430.5,100GB,90%,46
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000435327.2-ENST00000685060.1,100GB,90%,63
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000437525.3-ENST00000287152.12,100GB,90%,232
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000437535.5-ENST00000432118.6-ENST00000677029.1,100GB,90%,71
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000438635.1-ENST00000375544.7-ENST00000380051.7,100GB,90%,93
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000439042.1-ENST00000641760.1,100GB,90%,44
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000439523.1-ENST00000682513.1-ENST00000311028.4,100GB,90%,213
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000440054.2-ENST00000626796.2-ENST00000446092.2,100GB,90%,47
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000440089.1-ENST00000558164.5,100GB,90%,77
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000441160.1-ENST00000441160.1,100GB,90%,42
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000441660.1-ENST00000690299.1,100GB,90%,42
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000442049.3-ENST00000442049.3,100GB,90%,49
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000442241.9-ENST00000442241.9,100GB,90%,167
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000442440.2-ENST00000338121.10,100GB,90%,42
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000442616.1-ENST00000416699.5,100GB,90%,45
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000443316.2-ENST00000443316.2,100GB,90%,36
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000444324.2-ENST00000485116.5,100GB,90%,41
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000445313.1-ENST00000693243.2,100GB,90%,51
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000446299.5-ENST00000488344.6_PAR_Y,100GB,90%,61
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000447769.1-ENST00000529549.1,100GB,90%,56
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000450546.1-ENST00000450546.1,100GB,90%,48
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000452765.7-ENST00000479000.1,100GB,90%,37
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq.gz,ENST00000453034.5-ENST00000260363.9,100GB,90%,109
